country,description,designation,points,price,province,region_1,region_2,variety,winery
Italy,"This opens with generous aromatic fullness and brightness, with notes of black cherry, spice, leather and tobacco. The oak notes are still obvious so give this wine five more years of cellar aging.",Serraboella,89,41.0,Piedmont,Barbaresco,,Nebbiolo,Barale Fratelli
US,"This is a stainless-steel-aged Chardonnay with splendid streaks of lemon, honey and kiwi that surround a core of tart apple. It's balanced with good acidity that greets you on the entrance and on the finish.",Estate,86,20.0,California,Santa Clara Valley,Central Coast,Chardonnay,Jason-Stephens
Italy,"Amarone I Quadretti opens with loads of ripe fruit, strawberry and exotic spice. The wine is packed tight with power and intensity and the mouthfeel is accented by luscious cherry, clove, leather, mineral and cola.",I Quadretti,89,57.0,Veneto,Amarone della Valpolicella Classico,,"Corvina, Rondinella, Molinara",La Giaretta
France,"High acidity as well as white fruit perfumes characterize this wine. It shows the extreme freshness of the vintage, guarding a mineral texture, and a totally fresh and crisp aftertaste.",,87,17.0,Alsace,Alsace,,Riesling,Dopff & Irion
US,"A pleasant rose-petal pink in color, this wine by regional sparkling veteran Norm Yost shows red-grapefruit pulp and skin, lime spritz and a shred of bubble gum on the nose, playing both on hedonism and restraint. It's extremely refreshing once sipped, with more lime and pink grapefruit zest.",Solomon Hills Vineyard Sparkling,92,42.0,California,Santa Maria Valley,Central Coast,Pinot Noir,Goat Bubbles
Italy,Here's an easy Sangiovese-based wine (with a small percent of Petit Verdot for extra darkness and color) that would pair wonderfully with stay-home pizza or pasta. The wine offers bright berry nuances of cherry and raspberry and a touch of distant spice and smoke on the fade.,Il Gregoriano,86,12.0,Tuscany,Sant'Antimo,,Red Blend,Fattoria Scopone
US,"If Monterey has a problem with Cabernet Sauvignon, the challenges for Merlot are even more formidable, as this tough, thin, earthy wine shows. These grapes just didn't get ripe enough. so the dominant notes are herbaceous and tannic. It also finishes watery.",Coastal Selection,81,13.0,California,Monterey County,Central Coast,Merlot,Mirassou
US,"Ultra-sweet, with honeyed flavors of blackberries, currants, chocolate, anise and spices. Would score higher if it were more concentrated and complex.",,86,30.0,California,Lodi,Central Valley,Port,Benson Ferry
US,"Fruit from this Willamette Valley sub-AVA usually shows an herbal side, and here it is nicely melded into a fruit mix of melon, berry and pear. It sounds oddly like a white wine, but it's not; and the color and scents are clearly varietal. Penetrating and sharp, with excellent definition.",Zena Crown Vineyard,90,40.0,Oregon,Eola-Amity Hills,Willamette Valley,Pinot Noir,Soléna
US,"Pale in color, this wine shows perfumed aromas of potpourri, wild strawberries and smoke. The palate reveals mesquite and juicy berry flavors that show a lot of delicacy and restraint.",,88,22.0,Washington,Columbia Valley (WA),Columbia Valley,Pinot Noir,Voila!
US,"Shows the big, potent blackberry, blueberry, chocolate and spice flavors of those luscious Malbecs from Argentina, with significant tannins that make the finish tough. Could open up in a few years. Best with rich beef dishes.",Estate,88,35.0,California,Central Coast,Central Coast,Malbec,Clos La Chance
Israel,"A blend of 60% Merlot and 40% Cab Sauv, this is a lightweight, easy-to-drink Bordeaux-style blend that's perfect for company. Soft tannins and a ripe palate loaded with flavors of black juicy plum and berries along with a kiss of mocha are sure to satisfy even the more discerning palates.",Yasmin Kosher Red,86,11.0,Galilee,,,Bordeaux-style Red Blend,Recanati
Australia,"This approachable yet complex wine features scents of menthol, marinated beef, mocha and blackberries. It's medium to full in body and a bit creamy on the palate without being overly soft, while the fruit flavors turn plummy yet retain a savory edge. Gently structured on the finish, it should continue to drink well through 2020.",The Gypsy,90,30.0,South Australia,Barossa Valley,,Shiraz,Earthworks
Italy,"Ultra floral, with fresh, clean honeysuckle aromas. In the mouth, apple and peach flavors are fresh and fun, while the finish is smooth and nutty. Soft and meant to drink now; good in its class.",,87,16.0,Central Italy,Umbria,,Chardonnay,Lungarotti
France,"Even at their lightest, the wines of Luc de Conti have great style. This fruity, red cherry and spice wine is bright, fresh, with just the right layer of tannins. The finish is firm, but without losing the fruit.",Le Classique,87,15.0,Southwest France,Bergerac,,Merlot,Château Tour des Gendres
Chile,"This is a nice, round, waxy sort of Chardonnay. The nose offers integrated oak, bath oil and ripe tropical fruit aromas. The palate rests mostly on citrus, i.e. mellow orange and tangerine. Thus it's not overly zesty or citric; rather it blends in vanilla and a spot of oak to lend character and a modicum of class. Drink now.",Reserve,87,14.0,Casablanca Valley,,,Chardonnay,Santa Ema
US,"Massive and tannic, and dry to the point of astringency, all this Cab needs is a decade or so to come around. The tannins are bigtime, locking the wine down, but there's a solid core of blackberry and cassis fruit. Once the wine has aged, the sweet fruit will emerge. Don't even think about it until 2010.",S.L.V.,91,110.0,California,Napa Valley,Napa,Cabernet Sauvignon,Stag's Leap Wine Cellars
US,"Very tart and acidic, this shows cranberry fruit flavors and the barest suggestion of cured meat. Fruit-powered, sharp and quite young, this might substitute for a cru Beaujolais more than something from Spain.",,86,24.0,Oregon,Umpqua Valley,Southern Oregon,Tempranillo,Melrose
France,"The southernmost appellation in the northern Rhône produces a light, fresh style of white wine which can also comes in a sparkling version. This wine, from Tain cooperative, is typically light and fresh with a touch of almonds and green fruits. Great with fish dishes.",,86,13.0,Rhône Valley,Saint-Péray,,Rhône-style White Blend,Cave de Tain
US,"Shows the dramatic structure of a fine coastal Chardonnay, with crisp acidity and a bracing minerality framing ripe, lush flavors of pineapples, tangerines, pears and sweet, caramelized oak. Very rich and fine, deserving of the best shellfish, salmon, ahi tuna.",Alder Springs Vineyard,92,38.0,California,Mendocino,Mendocino/Lake Counties,Chardonnay,Townley
US,"A little too harsh and raw, and there's heat from high alcohol, although there are other things to like about this Zin. It's dry and spicy, with complex wild berry, currant, cola and beef jerky flavors. The alcohol is 15.4%.",Heritage Selection Zen Ranch,86,26.0,California,Paso Robles,Central Coast,Zinfandel,Bianchi
US,"There's something heart-warmingly soft about this Merlot. You may want to stash it away until the cold winter months and let it warm you on a chilly night. It's pure and appealing in cherries, currants, sandalwood and spices, with fine, dusty tannins.",Pocai Vineyard Estate Grown,88,24.0,California,Napa Valley,Napa,Merlot,Ballentine
Italy,"Aromas of citrus blossom, lemon and fragrant wild flower open. The fresh, juicy palate offers lemon zest, mature apricot and grilled oregano while a tangy saline note backs up the finish.",Tenute Sirignano,88,20.0,Sicily & Sardinia,Terre Siciliane,,Catarratto,Marchesi De Gregorio
Argentina,"Solid dark-berry aromas are dense and deep. This has a plump forward fruity palate with concentrated, toasty flavors of blackberry and dark plum. On the finish, this remains fruity and compact, with more than enough body weight.",Luna Benegas,88,13.0,Mendoza Province,Mendoza,,Cabernet Sauvignon,Benegas
Austria,"This wine's nose is still closed, but its palate presents velvety, cinnamon- and vanilla-tinged black cherry fruit. The tannic structure acts like a velvet grip around its pleasantly fruit-dense core. That richness is countered by freshness in a package that's sure to give lots of pleasure through 2022.",Rubin Carnuntum,92,25.0,Carnuntum,,,Zweigelt,Netzl
Chile,"This is an honest wine, with an herbal aroma and notes of tomato and red plum. It feels zingy due to tomato-like acidity, with red fruit flavors followed by a lean finish.",Selection,84,8.0,Molina,,,Carmenère,Quasar
Spain,"Dark and fully oaked Rioja with vanilla, mocha, char and black-fruit aromas. The body is good while the acidity is a bit high, and thus the flavors lean toward tart black cherry and zesty wild blackberry all with a robust amount of toast, spice and charred darkness.",Crianza,88,19.0,Northern Spain,Rioja,,Tempranillo,Obalo
Spain,"Cepas Vellas refers to old vines, but what's most noticeable on this wine is the popcorn and cream that characterizes both the nose and mouth. In between the oak-aided folds there's melon, waxy papaya and banana flavors sitting on a plump, cushioned palate. It's a holdover from 2005, so drink it while you have it.",Aquis Celenis Cepas Vellas,87,18.0,Galicia,Rías Baixas,,Albariño,Fernando Diéguez Otero
Italy,"La Collina dei Lecci offers a clean but compact Riserva Brunello with bright bursts of white cherry and forest berry followed by light accents of smoke and spice. With medium intensity and structure, this food-friendly alternative would match risotto or pasta.",Riserva,91,55.0,Tuscany,Brunello di Montalcino,,Sangiovese Grosso,La Collina dei Lecci
France,"A lively, fresh wine that gives a steely, mineral edge to the ripe fruits and the crisp acidity. The wine fills the mouth, a bold streak of apple skin structure boosting the fresh fruits.",Clos Saint-Landry Premier Cru,90,63.0,Burgundy,Beaune,,Chardonnay,Bouchard Père & Fils
Spain,"Stalky, slightly green aromas blend with generic berry scents to form a marginal bouquet. This is tannic and rough on the palate, with buttery oak flavors along with candied berry fruit notes.",Rojo Granrojo,82,11.0,Central Spain,Vino de la Tierra de Castilla,,Tempranillo-Garnacha,Bodegas Navarro López
US,"Opens with aromas of peaches, butter cream, vanilla and caramel, then turns fruity and rich in the mouth. It's a bit awkward, as there's a blast of herbs or veggies in the middle palate that doesn't seem to belong.",,83,14.0,California,Lake County,Mendocino/Lake Counties,Chardonnay,Wildhurst
Spain,"Light as if it were even older than it is, but nicely perfumed and mild in scope. The nose is mature and woodsy, while the palate is light, acidic and still dancing with plum and cherry. Best if you don't expect too much from it.",Crianza,85,16.0,Northern Spain,Rioja,,Tempranillo,Zitua
Chile,"Black fruit, bacon and sawdust aromas introduce this fuller-styled, fairly heady Merlot. With ripeness written all over it, there's still plenty of liveliness and punch to the black cherry and blackberry flavors. Finishing notes of pepper and chocolate give it added character.",Reserva,88,13.0,Colchagua Valley,,,Merlot,MontGras
Austria,"Fruity, immediately appealing berry flavors dominate this wine. It has an edge of wood, but that simply smoothes out the fruit rather than adding tannins. Lively, delicious, drinkable now.",Ried Hochberg,88,23.0,Mittelburgenland,,,Blaufränkisch,Hans Igler
US,"A fig, herb and grapefruit bouquet sets the stage. The fig element becomes a more nut-like flavor on the palate and the wine has a round, slightly viscous texture, in the full style of the other Wattle Creek whites. Finishes dry, with just a hint of tartness.",,87,20.0,California,Sonoma County,Sonoma,Sauvignon Blanc,Wattle Creek
France,"The name “Not so little” is a joking reference to its appellation. This is a pleasure, a delicious unoaked Chardonnay with green fruits, a touch of caramel and kiwi fruit flavors.",Pas si Petit,86,17.0,Burgundy,Petit Chablis,,Chardonnay,La Chablisienne
US,"A little spare in concentration, yet elegantly constructed, with vibrant acidity and some firm tannins framing pomegranate, sour-cherry candy, mushroom, baking spice and toast flavors.",Westside Road Neighbors,89,69.0,California,Russian River Valley,Sonoma,Pinot Noir,Williams Selyem
US,"Penetrating aromatically, spicy and complex, this brings in sharp berry scents, baking chocolate and a streak of herb. It's tight and vertically structured, and once in the mouth it turns a bit hard and unyielding. But it lingers and resonates, improves after being open for several hours, and can be cellared for up to a decade.",,91,22.0,Washington,Columbia Valley (WA),Columbia Valley,Merlot,Seven Hills
Italy,"Here's a blockbuster blend of Cabernet Sauvignon (65%) and Cabernet Franc that impresses on all levels. The aromatic intensity is outstanding, with deep levels of cherry, chocolate, tobacco and exotic spice. But what impresses most of all is the mouthfeel: It is rich, opulent, velvety and smooth.",Tâm,93,,Tuscany,Bolgheri Superiore,,Red Blend,Batzella
US,"This blend of five Bordeaux grapes has the style and lightly herbal character of a cru Bordeaux. Notes of brambly red fruit and peppery herb combine in a well-balanced wine of medium length, with restrained, lightly earthy tannins.",,87,25.0,Washington,Columbia Valley (WA),Columbia Valley,Merlot,L'Ecole No. 41
US,"A palate-pleasing, off-dry white, with a mix of peach and pear, some nice highlights of baking spices, and good texture through the finish.",Toasted Cow Vintners Blend,88,10.0,Oregon,Willamette Valley,Willamette Valley,White Blend,Oak Knoll
South Africa,"Aromas of clove and spice start this assertive, easydrinking blend of Syrah and Viognier. Forward blackberry and cassis flavors mingle with oaky spice and sturdy tannins. Aromatic and friendly, the wine will pair well with lamb and beef.",Goat-Roti,85,20.0,Coastal Region,,,Syrah-Viognier,Goats do Roam Wine Co.
Italy,"It opens with lovely aromas of wild flowers and stone fruit. The juicy palate offers creamy white peach, pear and apple accented with aromatic herbs and mineral alongside lively acidity.",Grotte,89,16.0,Southern Italy,Greco di Tufo,,Greco,Colli di Castelfranci
Italy,"From the distant 1994 vintage, this Vin Santo blend of Trebbiano and Malvasia has been aged an astonishing 15 years in small oak barrel. You can detect some of that evolution on the bouquet thanks to aromas of dried apricot, marron glacé, maple syrup and candied fruit with cinnamon spice. It's a sweet, thick wine with great intensity and the potential to age many more years to come.",Riserva,93,140.0,Tuscany,Vin Santo del Chianti Rufina,,White Blend,Fattoria di Grignano
France,"Fresh in style, especially for the hot, dry 2007 vintage, reflecting the slightly higher elevation of the Massif d'Uchaux, this medium-bodied wine offers oodles of cherry-berry fruit. It's nothing too serious or complex, just good, quaffable pleasure to consume over the next 2–3 years.",Massif d'Uchaux,86,12.0,Rhône Valley,Côtes du Rhône Villages,,Rhône-style Red Blend,Domaine de la Renjarde
South Africa,"Displaying style and character, this mid-weight Merlot ‘s complex nose shows classic berry, plum, mocha and earth flavors, with interesting cinnamon and olive accents. The round palate shows solid flavors of plum, cocoa and coffee as well as good texture and fruit to acid balance. Finishes with moderate tannins, offering good near-to mid-term aging potential.",,90,17.0,Stellenbosch,,,Merlot,Jardin
US,"Flora Springs has made this wine for many years, keeping the price pretty much the same. It's still a sophisticated bottle of Chardonnay, dry and fruity and, as the designation suggests, rich in toasty oak notes.",Barrel Fermented,87,25.0,California,Napa Valley,Napa,Chardonnay,Flora Springs
Spain,"A solid, earthy style of Navarran red wine, with plum, berry and meaty aromas. The palate is forward, with solid flavors of tobacco, plum, tomato and leather. More fruity than herbal, with heat, thyme, mocha and coffee on the finish. Tastes like something from the Old World. Not currently imported.",Malón de Echaide Crianza,87,,Northern Spain,Navarra,,Tempranillo Blend,Bodega del Romero
Spain,"Nice, clean and vibrant, with a welcoming set of peach, apricot and citrusy aromas. The wine is 100% correct and fresh, with clarity and flavors of apple, peach and green grapes. Shows just enough body, acid and pith on the finish, but drink now before it starts to fade.",,89,18.0,Galicia,Rías Baixas,,Albariño,As Laxas
Italy,"Poggio Teo offers excellent quality of fruit with berry, cherry and cassis overtones. This is a bright, crisp wine that flows nicely over the palate with rich intensity and integrated acidity.",Poggio Teo,91,30.0,Tuscany,Chianti Classico,,Sangiovese,Valiano
US,"Smells vegetal and cardboardy, tastes thin and hot, with medicinal cherry flavors.",,80,10.0,California,Lodi,Central Valley,Merlot,California's Jewel
Italy,"This is a lovely wine (a blend of Cabernet Sauvignon, Merlot, Syrah and other grapes) that shows very attractive softness in the mouth backed by a velvety texture and fine tannins. Black fruit, tobacco, spice and leather accent the bouquet: Pair it with black truffle Cornish hen.",Guado al Tasso Il Bruciato,91,32.0,Tuscany,Bolgheri,,Red Blend,Marchesi Antinori
Portugal,"Ramos-Pinto's two estates of Bons Aires and Ervamoira provide the grapes for this fruity, smooth-textured white wine. While this selection reflects the warmth of the Douro, it also shows great citrusy freshness and a crisp finish. Ready to drink.",Duas Quintas Reserva Branco,88,,Douro,,,Portuguese White,Ramos-Pinto
US,"There's a lot of crisp, vibrant acidity in this wine, which gives the pineapple, apricot and peach flavors a jamminess that lasts through the finish. With its creamy texture, it's a wine to drink now.",Clone 17 RY Ramal Vineyard,87,37.0,California,Carneros,Napa-Sonoma,Chardonnay,Buena Vista
US,"Michel Rolland consults on this extraordinary Merlot, part of Allen Shoup's Long Shadows project. Dark, dense, supremely concentrated with a silky, smoky, voluptuous mouthfeel, Pedestal is beautifully ripened, nuanced and complete. Lovely notes of bacon and smoked meats permeate the thick, juicy fruit. Still tight and young, this is a Merlot to savor, and to save.",,93,55.0,Washington,Columbia Valley (WA),Columbia Valley,Merlot,Pedestal
US,"What a great wine for the price. This doesn't have too much tannin, but instead features plenty of tempting black cherry and olive flavors. It's a delicious, dry wine in a classic style.",,87,30.0,California,Lodi,Central Valley,Cabernet Sauvignon,Loft
Australia,"Nutty, almost Porty, aromas. On the palate, the wine offers plum and some vanilla cream. Straightforward, but good. Imported by Southern Starz, Inc.",Dry Land,85,25.0,South Australia,Clare Valley,,Shiraz,Reilly's
Italy,"Elegant in style, spicy in flavor, with a suave texture that attests to deft handling at the winery. Plenty of coconut, earth and salumeria tones on the medium finish. Open and drinking well now but needs a flavorful accompinament such as duck.",Cannubi San Lorenzo,89,75.0,Piedmont,Barolo,,Nebbiolo,Camerano
Austria,"Fresh, light, dry, salmon-colored wine, with a lively lilt of acidity, red currant fruits and a crisp, clear finish just touched with caramel. Screwcap. Imported by Grape Expectations (CA).",Hesperia,85,13.0,Niederösterreich,,,Rosé,Felsner
US,"This is a polished and savory Sauvignon Blanc whose very sightly sweet lemongrass and spearmint flavors are finely balanced with crisp acidity. It brings to mind a salad of butter lettuce with shrimp, pink grapefruit and tart radishes.",Sanford Ranch,87,20.0,California,Mendocino County,Mendocino/Lake Counties,Sauvignon Blanc,Forth
US,"This is 100% Pinot Noir, tart and young and juicy, and at this price it's a pretty fair value. It could be criticized as being slightly sour, but it has none of the herbal, leafy, vegetal character that can haunt inexpensive Oregon Pinots.",,86,18.0,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Pappas Wine Company
New Zealand,"Starts with a nutty, almond-like note, then delivers lots of ripe melon flavors in a plump, appealing format. Slightly off-dry, but well balanced, without any cloying sweetness on the finish. Imported by Wimbledon Wine Company.",Single Vineyard,87,25.0,Marlborough,,,Pinot Gris,Kathy Lynskey
US,"Tastes jellied with LifeSaver candy flavors of blackberries and cherries. This one is good, but far less interesting, than Baldacci's '04 Cab.",Brenda's Vineyard,86,85.0,California,Stags Leap District,Napa,Cabernet Sauvignon,Baldacci
Portugal,"Fresh, with considerable acidity, this is as crisp as it gets. Apple and lemon juice dominate the flavors, with just a light touch of softness to calm the acidity.",Fita Azul Attitude Reserva Bruto,85,12.0,Vinho Espumante de Qualidade,,,Portuguese Sparkling,Borges
US,"The most affordable offering in the Clos de la Tech portfolio, it offers cinnamon and other baking spices plus caramel on the nose. These are followed by a palate rich in cola nut, cranberry, tar and cherry flavors. Like its sister wines, this is loaded with tannins, so expect steady evolution and improvement through 2019.",Domaine Lois Louise,92,42.0,California,Santa Cruz Mountains,Central Coast,Pinot Noir,Clos de la Tech
US,"This unoaked Chardonnay offers great complexity at an affordable everyday price. It's dry and elegantly balanced with crisp acids. Rich flavors of pineapples, Meyer lemons, limes and vanilla  hardly need wood for richness.",Cassidy Ranch,87,15.0,California,Carneros,Napa-Sonoma,Chardonnay,Kopriva
France,"This is a small, 10-acre property, owned by the Moueix family, at the heart of the Pomerol plateau. With its 30% Cabernet Franc it is perfumed and ripe, giving delicious black fruits as well as a firmer structure. The wine is set for a long aging with great potential. Drink from 2024.",,94,130.0,Bordeaux,Pomerol,,Bordeaux-style Red Blend,Château Hosanna
Argentina,"Scratchy raspberry aromas are jammy but also green, with a strange hint of perfume. This feels chunky and rubbery, with stretchy, elastic tannins. Flavors of baked berry fruits, prune and herbs finish hot.",Valle Las Acequias Finca Don Angelino Single Vineyard,84,17.0,Mendoza Province,Mendoza,,Malbec,Luis Segundo Correas
Australia,"Shows a welcome amount of complexity in this price range, with cherry fruit framed by hints of cedar, mint and tobacco. This medium-bodied red leans toward an elegant style, defined by silky tannins and a mouthwatering finish.",Estate Grown,87,13.0,New South Wales,Hunter Valley,,Merlot,Hope Estate
France,"Soft and open fruit, flavors of black currants, rhubarb and fresh acidity. The tannins are light, the wine attractively balanced with a juicy aftertaste.",,84,18.0,Bordeaux,Bordeaux Supérieur,,Bordeaux-style Red Blend,Château de Terrefort-Quancard
Portugal,"Freshly perfumed, almost sweet in character. It has flavors that hint at fruit candies, the acidity so light, the structure so gentle.",,84,7.0,Portuguese Table Wine,,,Portuguese Red,Caves Bonifacio
US,"This selection is from Terravant Wine Company, a custom-crush facility in Santa Barbara County. Dry and tannic, it shows classic Cabernet Sauvignon character. It has a smoothness often associated with Napa Valley wines and flavors of blackberry, black currant and oak.",,90,13.0,California,California,California Other,Cabernet Sauvignon,Barrel Ranch
Italy,"Barbera Vigneto Much showcases sweet aromas of vanilla, cinnamon and cedar wood behind loads of black fruit and wild berries. The wine is lean and compact on the close with a very cleansing, fresh finish.",Vigneto Much,87,29.0,Piedmont,Barbera d'Alba Superiore,,Barbera,Prinsi
US,"A lovely, blush-colored bubbly, with strong aromas and flavors and a full, rich body. Citrus, rose petal, strawberry, vanilla, yeast and toast flavors mingle in a crisp, dry wine that has a very long, fruity finish.",Brut Rosé,87,27.0,California,Anderson Valley,Mendocino/Lake Counties,Sparkling Blend,Roederer Estate
Spain,"Good for a mature wine but it does smell a bit flat and damp. That murkiness blows off somewhat, leaving a solid, aged Rioja wine with acidic zap and lightly baked berry, cherry, tomato and spice flavors. Mild on the finish. Drink now.",Gran Reserva,87,40.0,Northern Spain,Rioja,,Tempranillo,Ramirez de la Piscina
US,"Cherry pie and nuanced spice flavors buoy this delicately layered, medium-bodied vineyard designate that's built of robust fruit and supported quietly by oak. A thread of white pepper persists throughout, making it especially irresistible.",Sunny View,94,62.0,California,Russian River Valley,Sonoma,Pinot Noir,The Calling
Spain,"Aromas of cactus pad, green apple and jalapeño are true Verdejo, while the palate brings citrusy, melony fruit as well as chalky, minerally dryness. Tastes a bit like white grape skins, with tangerine and lemon on the finish.",,86,14.0,Northern Spain,Rueda,,Verdejo,Cuatro Rayas
US,"There are some rich cherry and raspberry granola flavors in this wine, but it's tired. It lacks the vibrancy to give it life and structure. Drink up.",,84,31.0,California,Santa Maria Valley,Central Coast,Pinot Noir,Indigené
New Zealand,"Starts with notes of peach, pineapple and jalapeño oil. Light in body, the flavors just slip away, leaving behind hints of peaches and green peppers. Imported by Negociants USA, Inc.",Pencarrow,85,14.0,Martinborough,,,Sauvignon Blanc,Palliser Estate
Spain,"Tarry, stalky aromas fail to make much of a statement. This is high in acid and rugged in the mouth, with a mixture of herbal red-fruit flavors and distinct stalkiness. A grating finish is racy and hot.",Honoro Vera,83,9.0,Northern Spain,Calatayud,,Garnacha,Bodegas Ateca
US,"Turned earth, coffee grounds, asphalt and dried cherries show on the mushroomy nose of this widely available bottling. Black tea and strong coffee flavors emerge through a thick veil of chunky tannins.",,85,16.0,California,Central Coast,Central Coast,Merlot,Liberty School
US,"Once again, the Burgundian touch of Veronique Drouhin has crafted a wine of surpassing elegance and immaculate structure. This is the antithesis of a jammy, California style yet it retains much of the vibrancy of New World fruit rather than the suppressed rusticity of Burgundy. Delicate cherry and tart plum fruit is sculpted into a wine with nuanced details of cola and coffee and spice.",,91,45.0,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Domaine Drouhin Oregon
Italy,"Lis Neris is a quality-minded producer in northeast Italy with a thick portfolio of delicious white wines. Among them is this crisp Pinot Grigio with immediate aromas of exotic fruit, peach and nectarine. The wine's creamy density makes it an excellent companion to pasta or rice salad.",Gris,89,,Northeastern Italy,Venezia Giulia,,Pinot Grigio,Lis Neris
US,"That terrific Santa Rita acidity is there, and the oak regimen tastes very expensive, but the fruit doesn't seem up to the task. It's a pretty good wine, with pineapples, dates, crème brûlée and spices, but there should be greater richness and complexity from this esteemed vineyard.",Sanford & Benedict Vineyard,86,39.0,California,Sta. Rita Hills,Central Coast,Chardonnay,Testarossa
Italy,"Subdued aromas of wild berry and forest floor lead the nose of this easygoing red. The vibrant palate delivers crunchy red cherry, tart red currant and a hint of mint alongside zesty acidity and fine-grained tannins.",1265,87,12.0,Tuscany,Chianti Colli Fiorentini,,Red Blend,Uggiano
Italy,Despite the obvious quality of this wine—obvious in its vibrant ruby color and full bouquet of berry and spice aromas—there's a tiny touch of something pungent that recalls kerosene or alcohol. The structure is firm and solid without being bulky and it delivers flavors of small berry fruit.,,87,110.0,Tuscany,Bolgheri Superiore,,Red Blend,Grattamacco
Italy,"If you are new to Barbera, Le Orme makes for a perfect introduction to this popular native grape of Northern Italy. This expression focuses on bright fruit tones with cherry and blueberry nuances. Try it with a pizza Margherita topped with fresh mozzarella and basil.",Le Orme,87,15.0,Piedmont,Barbera d'Asti Superiore,,Barbera,Michele Chiarlo
France,"A very herbaceous Sauvignon aroma, crisp and fresh with pink grapefruit and lemon grass flavors on top of a bright squeeze of lime. There is a final touch of pear juice acidity.",,86,13.0,Bordeaux,Bordeaux Blanc,,Bordeaux-style White Blend,Château La Rose du Pin
US,"This Zin seems to have lots of hot-climate fruit, for it's very soft in structure and very ripe. With pleasant raspberry, red currant and black pepper flavors, it's a little simple, but clean and easy to drink.",Old Vine,85,11.0,California,California,California Other,Zinfandel,Bogle
Spain,"This is a clean, fresh style of Garnacha with floral black cherry aromas offset by a minty note. The palate has a zingy feel and crisp, fresh plum, raspberry and dry herb flavors. As a whole it's focused and uncomplicated; this is very good Garnacha from one of the Valencia region's better producers.",Soplo,89,16.0,Levante,Valencia,,Garnacha,Bodegas Rafael Cambra
Spain,"Floral blueberry and black-currant aromas are jammy. Following the nose, this Garnacha feels chunky and low in acidity. Jammy flavors of blueberry and cassis end in a pudgy but friendly way. Drink this low-acid offering sooner rather than later.",Cuvée E.M.H. Reserva,86,10.0,Northern Spain,Cariñena,,Garnacha,Montoya
US,"This is lightly aromatic with notes of wheat, apricot and herbs. It's off dry with the concentration fading on the back half.",Estate Grown,84,23.0,Oregon,Umpqua Valley,Southern Oregon,Cayuga,Girardet
Spain,"Fruity but also showing saddle, game and vanilla aromas, this reserva from a top vintage sees its whole exceeding the sum of its parts. Full and creamy on the palate, this tastes of barrel toast and earthy plum and berry. Smooth and impressive, this is as welcoming as it is complex and age-worthy. Drink through 2025.",Reserva Tempranillo-Graciano,93,25.0,Northern Spain,Rioja,,Tempranillo Blend,Bodegas Ontañón
US,"The wine was half cool-fermented in steel, half in neutral barrels, a nice combination that lets the pure fruit flavors star, while juicing them with a tiny boost of smoke. Viognier's exotic style is emphasized, with rich tropical fruit and honeysuckle flavors, but the finish tastes like there's some residual sugar.",Estate,85,20.0,California,Central Coast,Central Coast,Viognier,Clos La Chance
US,"Built upon generous, sweet and pretty cherry and cassis fruit, this drinks well now, but could be cellared until 2020. Tannins are ripe and polished, and the natural acidity carries a finishing lick of citrus.",Chaleur Estate,92,80.0,Washington,Red Mountain,Columbia Valley,Bordeaux-style Red Blend,DeLille
Argentina,"Eight years down the line and this Malbec shows the flaws caused by a harvest marred by freezes. This smells like a mix of green bean and jammy boysenberry. The palate feels saturated but soupy, with outsize acidity. Green-herb flavors mix with baked plum and blueberry, while the finish feels sticky, tannic and heavy.",Don Antonio Grand Reserva,85,35.0,Mendoza Province,Mendoza,,Malbec,Antonio Gonzalez
France,"Intriguing, complex aromas of mocha, beef broth and dried flowers lead into a wine that's medium to full in body but nicely elegant, with fruit wrapped around a core of sinewy tannins. Marinated beef notes linger on the silky finish.",,92,65.0,Rhône Valley,Châteauneuf-du-Pape,,Rhône-style Red Blend,Sélection Laurence Féraud
Hungary,"Ebulliently floral on the nose, this decadently creamy Tokaji bursts with characteristic honey, peach preserve and dried fig sweetness. A streak of citrusy acidity adds balance, while subtle hints of caramelized sugar and tea leaves add twists to the long, honey-kissed finish.",Red Label Aszú 5 Puttonyos,92,43.0,Tokaji,,,Tokaji,Royal Tokaji
US,"Despite ripe flavors of blackcurrants, cocoa and spice and a sweet veneer of oak, this wine needs more acidity to perk it up. It's soft to the point of melting, and finishes thin. Good, but disappointing.",Oroppas,86,50.0,California,Napa Valley,Napa,Bordeaux-style Red Blend,St. Clement
Italy,"Fragrant fruit and floral aromas set this wine apart and give it a lively, vibrant personality. The mouthfeel is thin and compact but there's enough acidity at the end to keep it interesting.",,87,15.0,Northeastern Italy,Colli Orientali del Friuli,,Pinot Grigio,Girolamo Dorigo
France,"The home vineyard of the Vigouroux family has produced an elegant wine, its fruit finely in keeping with freshness as well as solid, dry classic Malbec tannins. The wine's fruit is just an element in this well-balanced wine.",Château de Mercuès,90,20.0,Southwest France,Cahors,,Malbec,Georges Vigouroux
Spain,"This is one fruity, loaded red. Aromas of boysenberry, violet petals, latex and generic medicinality set up a round, full-bodied but balanced palate. Flavors of ultraripe black fruits, blueberry and herbs finish long, moderately spicy and a touch herbal. Drink through 2018.",Almendros Single Vineyard,91,40.0,Levante,Valencia,,Red Blend,Angosto
